icao_code,long_destination,medium_destination,short_destination,lat_1,long_1,group,lat_2,long_2
TVSM,0,0,0,12.887900352478,-61.1801986694336,1,4.94420003890991,114.928001403809
WBSB,10,0,0,4.94420003890991,114.928001403809,1,33.3675003051758,-7.58997011184692
GMMN,0,0,0,33.3675003051758,-7.58997011184692,1,40.851001739502,-96.7592010498047
KLNK,1,1,0,40.851001739502,-96.7592010498047,1,33.0392,-116.915001
KRNM,0,0,0,33.0392,-116.915001,1,14.5833,-90.527496
MGGT,0,0,0,14.5833,-90.527496,1,38.4241981506348,-90.5829010009766
MO03,0,0,0,38.4241981506348,-90.5829010009766,1,41.6692008972,44.95470047
UGTB,0,0,0,41.6692008972,44.95470047,1,-6.293171,106.57
WICB,0,0,0,-6.293171,106.57,1,38.883301,-9.0301
LPAR,3,0,1,38.883301,-9.0301,1,50.4253997802734,127.412002563477
UHBB,1,0,0,50.4253997802734,127.412002563477,1,33.880699,-117.259003
KRIV,0,0,0,33.880699,-117.259003,1,-17.553699,-149.606995
NTAA,1,0,1,-17.553699,-149.606995,1,24.9575996398926,46.6987991333008
OERK,4,2,2,24.9575996398926,46.6987991333008,1,-23.0074005127,-47.1344985962
SBKP,11,0,2,-23.0074005127,-47.1344985962,1,41.4138984680176,-81.4525985717773
67OH,0,0,0,41.4138984680176,-81.4525985717773,1,39.90879822,-105.1169968
KBJC,2,1,0,39.90879822,-105.1169968,1,39.01119995,-95.21659851
KLWC,0,0,0,39.01119995,-95.21659851,1,27.9755001068115,-82.533203125
KTPA,2,4,0,27.9755001068115,-82.533203125,1,-34.838402,-56.0308
SUMU,6,0,0,-34.838402,-56.0308,1,23.843347,90.397783
VGZR,0,1,0,23.843347,90.397783,1,42.7785987854004,-72.5278015136719
VT47,0,1,0,42.7785987854004,-72.5278015136719,1,40.3628005981445,-95.4385986328125
24MU,0,0,0,40.3628005981445,-95.4385986328125,1,52.1707992553711,-106.699996948242
CYXE,0,0,0,52.1707992553711,-106.699996948242,1,50.6374015808106,5.44322013854981
EBLG,41,0,0,50.6374015808106,5.44322013854981,1,52.461101532,9.68507957458
EDDV,0,0,1,52.461101532,9.68507957458,1,60.193901062012,11.100399971008
ENGM,7,0,0,60.193901062012,11.100399971008,1,48.7928009033203,-122.53800201416
KBLI,0,2,1,48.7928009033203,-122.53800201416,1,40.8751983643,-74.2814025879
KCDW,0,0,0,40.8751983643,-74.2814025879,1,45.428299,12.3881
LIPV,1,0,0,45.428299,12.3881,1,41.7994,12.5949
LIRA,0,1,0,41.7994,12.5949,1,30.0618000031,-95.5528030396
KDWH,6,0,0,30.0618000031,-95.5528030396,1,48.7233333,2.3794444
LFPO,0,0,10,48.7233333,2.3794444,1,57.662799835205,12.279800415039
ESGG,0,0,1,57.662799835205,12.279800415039,1,35.040199,-106.609001
KABQ,0,1,1,35.040199,-106.609001,1,29.7045,-98.042198
KBAZ,0,1,0,29.7045,-98.042198,1,4.7278,-74.2754
SKMA,2,1,0,4.7278,-74.2754,1,52.8311004639,-1.32806003094
EGNX,0,0,0,52.8311004639,-1.32806003094,1,-25.9762557716,28.3890151978
FABA,6,0,0,-25.9762557716,28.3890151978,1,14.67,-17.073333
GOBD,6,6,0,14.67,-17.073333,1,32.847099,-96.851799
KDAL,5,6,1,32.847099,-96.851799,1,37.461101532,-122.114997864
KPAO,0,0,0,37.461101532,-122.114997864,1,45.54940032959,-122.40100097656
KTTD,0,1,0,45.54940032959,-122.40100097656,1,35.3292999267578,-79.0299987792969
09NC,0,0,0,35.3292999267578,-79.0299987792969,1,43.439271922,5.22142410278
LFML,0,0,0,43.439271922,5.22142410278,1,45.395699,10.8885
LIPX,0,0,0,45.395699,10.8885,1,42.075003,-83.608299
MI39,0,0,0,42.075003,-83.608299,1,19.0886993408,72.8678970337
VABB,50,2,11,19.0886993408,72.8678970337,1,7.1807599067688,79.8841018676758
VCBI,5,7,2,7.1807599067688,79.8841018676758,1,39.9667015075684,-104.651000976563
60CO,1,1,0,39.9667015075684,-104.651000976563,1,51.5713996887207,0.695555984973908
EGMC,1,0,0,51.5713996887207,0.695555984973908,1,37.5238,-105.009002
K07V,0,0,1,37.5238,-105.009002,1,39.2695999145508,-77.0053024291992
MD46,0,0,0,39.2695999145508,-77.0053024291992,1,34.4272994995117,135.244003295898
RJBB,61,8,2,34.4272994995117,135.244003295898,1,38.137798,23.951099
LGKN,0,0,0,38.137798,23.951099,1,43.3521003723145,77.0404968261719
UAAA,4,8,0,43.3521003723145,77.0404968261719,1,33.3314018249512,-84.2667007446289
0GE4,0,0,0,33.3314018249512,-84.2667007446289,1,33.5974998474121,-7.46500015258789
GMMT,1,0,0,33.5974998474121,-7.46500015258789,1,-23.4355564117432,-46.4730567932129
SBGR,87,2,25,-23.4355564117432,-46.4730567932129,1,39.7173,-86.294403
KIND,8,2,0,39.7173,-86.294403,1,-20.258057,-40.286388
SBVT,0,0,0,-20.258057,-40.286388,1,40.004699707,-105.071998596
0CD7,0,1,0,40.004699707,-105.071998596,1,52.308601,4.76389
EHAM,118,1,42,52.308601,4.76389,1,59.651901245117,17.918600082397
ESSA,14,0,1,59.651901245117,17.918600082397,1,28.2586002349854,-81.3840026855469
FD83,3,4,0,28.2586002349854,-81.3840026855469,1,35.3983,139.910004
RJTK,61,0,0,35.3983,139.910004,1,-23.180369,-46.944408
SBJD,0,0,0,-23.180369,-46.944408,1,43.6772003174,-79.6305999756
CYYZ,94,28,21,43.6772003174,-79.6305999756,1,39.2916984558105,-75.5749969482422
DE04,2,0,0,39.2916984558105,-75.5749969482422,1,33.9723014831543,-86.3794021606445
K20A,1,0,0,33.9723014831543,-86.3794021606445,1,33.817699,-118.152
KLGB,0,6,1,33.817699,-118.152,1,-6.26661014556885,106.890998840332
WIHH,0,0,0,-6.26661014556885,106.890998840332,1,55.8483009338,13.3283004761
ESME,0,0,0,55.8483009338,13.3283004761,1,33.2006988525,-97.1979980469
KDTO,0,0,0,33.2006988525,-97.1979980469,1,41.6162986755371,-87.4128036499024
KGYY,0,1,0,41.6162986755371,-87.4128036499024,1,39.67869949,-75.60649872
