icao_code,group,latitude,longitude,change
NC01,G3,36.0961990356445,-76.3271026611328,25.6666666666667
ENGK,G3,58.516701,8.7,25.6218487394958
4FL3,G3,27.740214,-80.666792,25.6030927835052
46MS,G3,31.2950000762939,-89.9850006103516,25.5
4MD1,G3,38.3681983947754,-75.2306976318359,25.3333333333333
OR45,G3,44.1971015930176,-123.055999755859,25.3333333333333
15AR,G3,34.825901,-90.543297,25.3076923076923
MS25,G3,33.3987007141113,-90.9675979614258,25.25
K35A,G3,34.6870002747,-81.6411972046,25.0769230769231
LICD,G3,35.497898,12.6181,25
PR25,G3,18.0125007629,-67.0691986084,25
6FD0,G3,29.5657997131348,-82.8686981201172,25
6PS8,G3,41.816719,-75.698783,25
EGZV,G3,51.170505,-4.670758,25
YBLA,G3,-36.5518989562988,146.00700378418,25
8MS1,G3,33.585044,-90.097736,25
5NC1,G3,35.7932014465332,-80.5122985839844,25
07VA,G3,36.8195991516113,-78.7830963134766,24.8
5II2,G3,39.5597991943359,-86.1350021362305,24.6666666666667
K2A6,G3,34.5824012756348,-91.1651992797852,24.6666666666667
2WS2,G3,45.913686,-92.293239,24.6
KDVN,G3,41.61029816,-90.58830261,24.4241071428571
KHEE,G3,34.576571,-90.67616,24.3928571428571
GEML,G3,35.279800415,-2.9562599659,24.3529411764706
73PN,G3,41.3684005737305,-77.0710983276367,24.3333333333333
7KY2,G3,38.8036003112793,-84.6611022949219,24.3
ENCN,G3,58.204201,8.08537,24.2647058823529
KX59,G3,27.96199989,-80.55979919,24.2033898305085
4WA2,G3,46.9272003173828,-122.968002319336,24.1764705882353
YLOD,G3,-36.8078002929687,145.457000732422,24
K3J7,G3,33.5976982116699,-83.1389999389648,23.952380952381
ZYHE,G3,50.1716209371,127.308883667,23.6206896551724
KRSW,G3,26.5361995697021,-81.7552032470703,23.4940872135994
48MD,G3,38.149167,-75.662222,23.4736842105263
KVIS,G3,36.3186988831,-119.392997742,23.3716337522442
MS85,G3,33.597900390625,-90.8029022216797,23.3333333333333
XS64,G3,26.2490005493164,-97.5650024414062,23.2285714285714
KSVH,G3,35.765300750732,-80.953903198242,23.1448275862069
CKS3,G3,52.4880981445313,-105.763999938965,23
73NY,G3,42.265767,-75.310033,23
K14A,G3,35.6129989624023,-80.8993988037109,23
MT03,G3,47.993408,-114.224306,22.9230769230769
OI34,G3,39.6130981445312,-83.9924011230469,22.8217270194986
XS56,G3,26.4487,-97.791901,22.75
1OH1,G3,40.301399230957,-83.9760971069336,22.6486486486486
