icao_code,long_destination,medium_destination,short_destination,latitude,longitude,group
OMAF,1,0,0,24.3788890838623,54.3161125183106,B
CNP3,0,0,0,45.4136009216309,-76.3657989501953,B
SN59,0,1,0,38.8527984619141,-94.9100036621094,B
SWZT,1,0,0,-19.254999,-44.473331,B
0VA1,0,0,0,37.2335014343262,-79.5852966308594,B
EGPF,0,1,4,55.871899,-4.43306,B
KP19,0,0,0,33.298829,-111.915795,B
ELLX,16,0,1,49.6233333,6.2044444,B
KO22,0,1,0,38.0303993225,-120.415000916,B
KSNA,0,9,0,33.67570114,-117.8679962,B
LEZG,1,0,0,41.6661987304687,-1.04155004024506,B
VTBS,112,4,5,13.6810998916626,100.747001647949,B
LROP,0,1,0,44.5711111,26.085,B
RKSS,3,2,0,37.5583,126.791,B
CHG2,0,1,0,47.6856002807617,-53.2538986206055,B
EGPK,1,0,0,55.5093994140625,-4.586669921875,B
KMHR,0,4,0,38.55390167,-121.2979965,B
KRNO,0,1,1,39.4990997314453,-119.767997741699,B
08ID,0,0,0,43.5693016052246,-116.777000427246,B
KCRQ,2,2,2,33.12829971,-117.2799988,B
SPQU,0,0,0,-16.3411006927,-71.5830993652,B
TS53,0,1,0,31.774861,-106.470681,B
FADR,0,0,0,-26.3543156175,28.466791153,B
MMSM,1,0,0,19.7553005219,-99.0164031982,B
KPTK,0,0,0,42.665500640869,-83.420097351074,B
KRMN,1,0,0,38.398102,-77.455498,C
KSLC,0,1,0,40.7883987426758,-111.977996826172,C
LIRZ,0,0,0,43.095901,12.5132,C
YSCB,0,0,0,-35.3069000244141,149.195007324219,C
EGPH,0,2,0,55.9500007629395,-3.37249994277954,C
K9F9,0,1,0,32.6285018920898,-97.3535995483399,C
KOUN,0,1,0,35.2456,-97.472099,C
KFTW,0,0,0,32.819801,-97.362396,C
KLWV,0,0,0,38.7643013,-87.6054992676,C
KTUS,0,1,0,32.115004,-110.938053,C
SABE,1,0,0,-34.5592,-58.4156,C
CYVR,68,17,9,49.193901062,-123.183998108,C
KOWD,4,3,0,42.1904983521,-71.1728973389,C
NC03,0,0,0,35.9085006713867,-79.9872970581055,C
OM11,4,0,1,24.5188999176025,54.9800987243652,C
5IS3,0,1,0,38.0783996582031,-89.9795989990234,C
AZ85,0,0,0,33.533561,-112.960192,C
CYHM,0,2,0,43.1735992432,-79.9349975586,C
KHIO,0,1,0,45.540401,-122.949997,C
MROC,3,1,0,9.99386024475098,-84.2088012695313,C
4GE2,7,2,1,33.5500984191894,-84.1666030883789,C
RKSG,1,0,0,36.9622001647949,127.03099822998,C
KAVQ,0,1,0,32.4095993042,-111.218002319,C
KUUV,0,0,1,38.2335014343262,-91.1642990112305,C
9CA0,0,0,0,35.113899230957,-118.597999572754,C
EGNP,0,0,0,53.878175,-1.662477,C
KLVN,0,0,0,44.6278991699219,-93.2281036376953,C
KO60,0,1,0,38.77600098,-122.9929962,C
KMSN,0,0,1,43.1399002075195,-89.3375015258789,C
LKPR,1,0,0,50.1008,14.26,C
OH43,1,0,0,39.8334007263184,-82.7332000732422,C
SLVR,1,2,1,-17.6448,-63.135399,C
AL93,0,1,0,34.8856010437012,-86.7099990844727,C
GABS,0,0,0,12.5335,-7.94994,C
KAKH,0,1,0,35.202598,-81.149902,C
LIMJ,0,0,0,44.4133,8.8375,C
NZAA,33,5,4,-37.0080986023,174.792007446,C
WBKK,0,0,2,5.93721008300781,116.051002502441,C
CO12,0,0,0,39.983001709,-104.705001831,C
LETO,0,0,0,40.4967002868652,-3.44586992263794,C
WMSA,2,0,0,3.13057994842529,101.549003601074,C
WSAC,2,0,0,1.3441400528,104.009002686,C
KE67,0,0,1,33.04759979248,-110.90899658203,C
